ID,COUNTY_ID,COUNTY,TOTAL_POPULATION,PER_TOTAL_POPULATION,POPU_DENSITY,HH_MEDIAN_AGE,DI_RACE_WH,DI_RACE_AF,DI_RACE_AI_AN,DI_RACE_ASIAN,DI_RACE_NW,DI_RACE_SOM,DI_NOT_HISP,DI_PERC_NOT_HISP,WF_OCCUP_1,WF_OCCUP_2,WF_OCCUP_3,WF_OCCUP_4,WF_OCCUP_5,WF_IND_1,WF_IND_2,WF_IND_3,WF_IND_4,WF_IND_5,WF_IND_6,WF_IND_7,WF_IND_8,WF_IND_9,WF_IND_10,WF_IND_11,WF_IND_12,WF_IND_13,WF_CSW_1,WF_CSW_2,WF_CSW_3,WF_CSW_4,INC_MD_HOUSE,INC_PER_CAP,HH_UD_18,HH_OVR_65,HH_AVG_SIZE,WF_OVR_25,WF_PER_OVR_25,DI_BR_DF,DI_FB,DI_PER_FB,DI_FB_2010,DI_FB_EU,DI_FB_A,DI_FB_AF,DI_FB_OC,DI_FB_LA,DI_FB_NA,DI_NON_ENG,HH_OW_OC,HH_PER_OW_OC,INC_HM_VALUE
0500000US37101,37101,"Johnston County, North Carolina",175343,175343,213.4,37.1,137721,26422,788,1145,18,5353,152352,69.4,26856,12060,20045,9732,9853,1234,8122,8709,3333,9884,3899,1272,4643,6526,16464,5960,3098,5402,77.5,17.3,5.1,0.1,49799,22589,22810,21.9,2.83,16978,14.9,52500,13478,7.7,480,885,808,267,36,11346,136,19794,61333,89.2,43725
0500000US26077,26077,"Kalamazoo County, Michigan",254870,254870,445.7,34,208924,28714,924,6030,88,1656,243779,79.1,45116,23109,28538,7618,15385,1395,4541,20594,2922,14371,3314,1248,6999,10476,32526,12386,5559,3435,82.5,11.9,5.5,0.2,46356,25943,27132,23,2.46,33150,21.1,54223,12153,4.8,1751,2465,5231,1150,93,2654,560,17340,100042,90.9,64147
0500000US54039,54039,"Kanawha County, West Virginia",191765,191765,214.1,42.5,170300,7984,334,1957,0,365,189816,88.2,31913,15400,23453,7371,8163,2381,4328,4193,2494,10277,4740,2218,5566,9056,21001,8099,3939,8008,75.2,20.2,4.3,0.3,46583,27913,18831,29.5,2.29,20136,14.7,34297,3155,1.6,429,566,1855,125,58,418,133,3998,82531,89.3,58104
0500000US17089,17089,"Kane County, Illinois",521874,521874,990.8,35.5,380753,28601,1787,18686,94,80995,359826,58.5,84668,40546,65530,18296,41620,1383,14637,41777,10818,29307,12534,5477,17021,32573,47543,20511,9839,7240,85.2,10.8,3.9,0.1,70514,30645,64159,22.8,3.01,67909,20.5,86621,96297,18.5,2952,9247,13658,1621,110,70712,949,153555,171316,93.7,127614
0500000US17091,17091,"Kankakee County, Illinois",112682,112682,167.7,37.3,89765,16600,246,1220,29,2319,102098,72.8,14541,9523,11729,5011,8925,922,2923,7083,1770,5577,3227,570,2747,3008,13120,4845,2269,1668,81.9,13.4,4.6,0.1,51000,24117,12709,25.7,2.6,7800,10.7,18364,5648,5,478,564,890,110,0,4008,76,9079,41430,91.7,28401
0500000US48257,48257,"Kaufman County, Texas",107119,107119,132.4,35.6,89556,10127,610,794,318,2743,87575,68.8,16291,7685,12328,5429,6739,492,4335,4994,1962,5810,3320,569,3176,4362,11317,3318,2332,2485,76.9,16.6,6.4,0,61459,24959,13383,23.1,3.01,8846,12.9,21342,8085,7.5,303,391,738,117,0,6769,70,16134,35177,90.8,27221
0500000US17093,17093,"Kendall County, Illinois",118194,118194,358.2,33.7,99130,6876,215,3948,0,5151,99039,73.2,23728,8111,15911,4877,6854,568,3088,8118,2199,7018,4128,945,5156,5895,13198,4311,2423,2434,82.7,13.9,3.1,0.3,83844,31110,16499,16.9,3.07,16402,22.3,21819,10030,8.5,212,1176,2201,474,4,5753,422,18009,38453,94.4,31961
0500000US23011,23011,"Kennebec County, Maine",121507,121507,140.8,43.6,116863,941,709,978,27,424,119862,95.2,20047,10112,14663,6123,6552,940,4138,4554,1719,7673,2302,1038,2518,4657,15734,4335,2649,5240,72,19.3,8.5,0.2,46559,25636,12674,27.5,2.3,12486,14.5,29859,2901,2.4,340,846,897,119,3,214,822,6610,51242,83.7,35994
0500000US55059,55059,"Kenosha County, Wisconsin",167268,167268,611.9,37.1,146220,11947,584,2381,32,2256,146820,77.3,26175,13661,19277,7118,12062,988,4408,15276,2726,9573,3225,1281,3391,6343,17595,6986,3168,3333,83.8,12.4,3.7,0.1,54653,26560,19807,22.7,2.6,17593,16.1,69383,10280,6.1,437,2668,2001,192,3,5106,310,17292,62573,90.1,41842
0500000US10001,10001,"Kent County, Delaware",167477,167477,276.9,36.8,113563,40633,1056,3424,141,1968,156829,64.1,24065,14041,17787,7827,9972,1107,4862,6462,1155,11095,3466,919,3759,4602,18211,6568,3134,8352,73.2,22.7,3.9,0.2,55169,25259,18156,27.6,2.74,15105,13.9,80153,8877,5.3,722,1636,2781,1229,6,3118,107,13726,59142,88.7,41937
0500000US26081,26081,"Kent County, Michigan",615381,615381,711.5,34.7,503211,59888,3170,15063,122,14120,554345,75.4,105505,48966,73597,19962,48259,2827,13668,54677,12425,33821,10079,4960,18056,29159,69086,26318,14758,6455,86.8,8,5.1,0.1,52716,26436,72322,21.7,2.62,84008,21.3,96649,46920,7.6,4610,8125,12416,3118,91,21124,2046,65966,230895,93.3,159706
0500000US44003,44003,"Kent County, Rhode Island",165253,165253,985.9,43.2,153331,2289,206,3939,11,2299,159079,90.6,30636,15247,22846,6880,9305,197,4389,9513,2203,10785,3820,1819,7679,7401,21070,8408,3745,3885,82.9,12.6,4.5,0.1,62976,34110,17644,28.7,2.39,22395,18.7,34948,9957,6,463,3674,2941,671,25,2282,364,13680,68428,92.9,48056
0500000US21117,21117,"Kenton County, Kentucky",161915,161915,996.7,36.3,146730,7508,425,1751,39,2159,157368,89.4,27378,11532,21874,5865,11433,252,4402,9918,3100,8634,5307,1832,6798,7859,15663,7460,3429,3428,85.8,10.7,3.4,0.1,54817,27788,18198,22.1,2.57,20256,18.8,59938,3913,2.4,292,749,1212,317,31,1460,144,6156,61962,89.5,41536
0500000US06029,6029,"Kern County, California",857730,857730,103.3,31,632452,48412,10612,37886,1078,97625,425360,37.2,83924,60964,68916,64794,42623,52688,19571,19053,9420,35099,16225,3329,12543,26016,63186,27137,14074,22880,75.6,17.7,6.6,0.2,48574,20467,103439,22.3,3.2,51067,10.1,124568,175262,20.4,7713,3110,27118,2127,297,140955,1655,334068,257737,89.6,147334
